,Навыки и умения,Unnamed: 1,Кодирование,Unnamed: 3,"Таблицы и графы, динамика",Unnamed: 5,Программирование,Unnamed: 7,Теория игр,Unnamed: 9,Комбинаторика,Unnamed: 11,Алгебра логики,Unnamed: 13,Алгоритмы,Unnamed: 15,Системы счисления,Unnamed: 17,"Файлы и таблицы, презентации",Unnamed: 19
69,,,,,,,Количество итераций цикла,370,,,,,,,,,,,Затраты,971.0
70,,,,,,,Возвращение значения функции ,371,,,,,,,,,,,,
71,,,,,,,Последовательность чисел,372,,,,,,,,,,,,
72,,,,,,,Условие кратности суммы чисел,373,,,,,,,,,,,,
73,,,,,,,Условие кратности разности чисел,374,,,,,,,,,,,,
74,,,,,,,Условие кратности произведения чисел,375,,,,,,,,,,,,
75,,,,,,,Алгоритм Евклида ,376,,,,,,,,,,,,
76,,,,,,,НОД,377,,,,,,,,,,,,
77,,,,,,,НОК,378,,,,,,,,,,,,
78,,,,,,,Длина последовательности ,379,,,,,,,,,,,,
79,,,,,,,Натуральный делитель,380,,,,,,,,,,,,
80,,,,,,,Алгоритм нахождения целой части и остатка,381,,,,,,,,,,,,
81,,,,,,,Арифметическая прогрессия,382,,,,,,,,,,,,
82,,,,,,,Сложная сортировка списка списков,383,,,,,,,,,,,,
83,,,,,,,Объявление переменных,384,,,,,,,,,,,,
84,,,,,,,Алгоритм перевода из 10сс в Ncc,385,,,,,,,,,,,,
85,,,,,,,Оператор break,386,,,,,,,,,,,,
86,,,,,,,Оператор continue ,387,,,,,,,,,,,,
87,,,,,,,Очередь,388,,,,,,,,,,,,
