, Источники географической информации,Unnamed: 1, История освоения мира и России,Unnamed: 3,Земля как планета,Unnamed: 5,Литосфера,Unnamed: 7, Атмосфера,Unnamed: 9, Гидросфера,Unnamed: 11,Природопользование и экология,Unnamed: 13,Население мира,Unnamed: 15,Природа материков и крупные страны,Unnamed: 17,География России: географическое положение и геополитика,Unnamed: 19,География России: природа,Unnamed: 21,География России: хозяйство,Unnamed: 23,Методы и навыки.,Unnamed: 25,Биосфера,Unnamed: 27,Мировое хозяйство,Unnamed: 29,География России: районирование,Unnamed: 31,География России: население,Unnamed: 33
10,Легенда карты,12.0,"Лаптев Харитон Прокофьевич, Дмитрий Яковлевич Лаптев",120.0,Полюс северный,212.0,Магматические горные породы,311.0,Зональное распределение давления,413.0,"Озера и их классификация по образованию котловин, составу воды, водному режиму",511.0,Влияние сельского хозяйства на окружающую среду,624.0,Языковые семьи и языковые группы,711.0,Характерные черты природы Евразии,811.0,"Моря, омывающие территорию России",914.0,Климатообразующие факторы на территории России,1011,География сельского хозяйства России,1125.0,Навык описания объекта,1221.0,Природная зона,1311.0,"Пищевая промышленность, факторы размещения",1411.0,Восточная Сибирь (Восточно-Сибирский экономический район),1511.0,География религий России,1611.0
11,Условные знаки топографических карт и планов,13.0,Беринг Витус Ионассен,122.0,Полюс южный,213.0,Метаморфические горные породы,312.0,Ветры и их виды,414.0,Болота и их образование,512.0,Альтернативная энергетика,625.0,География религий мира,713.0,Особенности крупных стран Европы,812.0,Сухопутные границы России,916.0,Арктический климатический пояс (Россия),1012,География сельского хозяйства России: растениеводство,1126.0,Навык описания явления,1222.0,Характерные черты природных зон,1312.0,"Легкая промышленность, факторы размещения",1412.0,Дальний Восток (Дальневосточный экономический район),1512.0,Языковой состав населения,1612.0
12,Определение азимута по топографической карте и плану местности,14.0,Докучаев Василий Васильевич,125.0,Смена продолжительности дня и ночи в течение года,214.0,Осадочные горные породы,313.0,Воздушные массы и их типы,415.0,Ледники и их типы,513.0,Опасные природные явления,626.0,Географические особенности размещения населения мира,714.0,Особенности крупных стран Азии,813.0,Морские границы России,917.0,Субарктический климатический пояс (Россия),1013,География сельского хозяйства России: животноводство,1127.0,Навык описания процесса,1223.0,Широтная зональность,1313.0,Ведущие страны-экспортеры основных видов промышленной продукции.,1413.0,Центрально-Черноземный район (Центральная Россия),1513.0,Городское и сельское население,1613.0
13,Профиль рельефа местности,15.0,Баренц Виллем,127.0,Полярные круги,215.0,Литосфера,314.0,Ветры постоянные,416.0,Подземные воды,514.0,Проблема загрязнения атмосферы,628.0,"Факторы, влияющие на плотность населения",715.0,Характерные черты природы Антарктиды,814.0,Место России среди стран мира. ,918.0,Умеренный климатический пояс (Россия),1014,География сельского хозяйства России: растениеводство - зерновые культуры,1128.0," Навык чтения, сравнения и сопоставления карт, статистических материалов ",1225.0,,,Сельское хозяйство. Аграрные отношения в странах разного типа,1414.0,,,Города-миллионеры,1614.0
14,Географические прогнозы и практическое приминение географии,16.0,Тасман Абель Янсзон,128.0,Тропики,216.0,Литосферные плиты,315.0,Ветры переменные,417.0,Многолетняя мерзлота,515.0,Истощение озонового слоя,629.0,Половой состав населения планеты,716.0,Столицы крупных стран мира,815.0,География государств нового зарубежья. Россия и страны СНГ,919.0,Умеренный умеренно континентальный  климат,1015,Минерально-сырьевые базы России,1130.0,Умение определять стороны горизонта по топографической карте,1227.0,,,Крупнейшие производители сельскохозяйственной продукциии в мире,1415.0,,,"Показатели рождаемости, смертности и естественного прироста",1615.0
15,Построение профиля по линии на топографической карте,17.0,Крузенштерн Иван Федорович и Юрий Фёдорович Лисянский,129.0,Экватор,217.0,Виды взаимодействия литосферных плит,316.0,"Циклоны, антициклоны",418.0,Круговорот воды,516.0,Парниковые газы,630.0,Возрастной состав населения планеты,717.0,,,Взаимосвязи России с другими странами мира,920.0,Умеренный континентальный  климат,1016,"Лесная и целлюлозно-бумажная промышленность, факторы размещения предприятий ",1131.0,,,,,Ведущие страны - экспортеры зерновых культур,1416.0,,,Средняя ожидаемая продолжительность жизни в России,1616.0
16,Длина дуги меридиана в 1 градус,18.0,Челюскин Семен Иванович,130.0,Зенитальное положение Солнца,218.0,Сейсмические пояса,317.0,Атмосферные фронты ,419.0,Приливы и отливы,517.0,Парниковый эффект,631.0,Половозрастные пирамиды,718.0,,,"Объекты мирового природного и культур-
ного наследия в России",921.0,Умеренный резко континентальный  климат,1017,"Химическая промышленность, факторы размещения предприятий ",1132.0,,,,,Ведущие страны-экспортеры технических волокнистых культур и каучуконосов,1417.0,,,,
17,"Горизонтали, изображение рельефа горизонталями",19.0,Васко да Гама,131.0,Наклон оси вращения Земли ,219.0,Платформа,318.0,Ветры местные,420.0,Гидросфера и ее состав,518.0,Глобальное изменение климата и его последствия,632.0,Урбанизация и ее виды,719.0,,,,,Умеренный муссонный климат,1018,"Топливно-энергетический комплекс, факторы размещения предприятий ",1133.0,,,,, Ведущие страны-экспортеры технических сахароносных и масличных культур,1418.0,,,,
18,Стороны горизонта,20.0,Веспуччи Америго,133.0,Дни равноденствия,220.0,Строение платформы,319.0,Атмосферные осадки,422.0,Режим годового стока реки,519.0,Опустынивание,633.0,Уровень урбанизации в странах разного типа,720.0,,,,,Умеренный морской климат,1019,Нефтяная промышленность России,1134.0,,,,,Ведущие страны-экспортеры технических тонизирующих культур,1419.0,,,,
19,Определение направлений по топографической карте,21.0,Скотт Роберт,136.0,Дни солнцестояния,221.0,Складчатые пояса,320.0,Климат,423.0,Типы питания реки,520.0,Обезлесение,634.0,Городское и сельское население мира,721.0,,,,,Циркуляция атмосферы на территории России,1020,Тепловые электростанции России,1135.0,,,,,География садоводства и виноградарства,1420.0,,,,
20,,,,,Тепловые пояса Земли,222.0,Плита,321.0,"Климатообразующие факторы: рельеф, близость океана, течения, подстилающая поверхность",424.0,Наводнение,521.0,Кислотные осадки,635.0,Крупнейшие города мира,722.0,,,,,Климатическое районирование территории России,1021,"Металлургия, факторы размещения предприятий ",1136.0,,,,,География скотоводства. Страны- экспортеры мяса,1421.0,,,,
21,,,,,Полярный день ,223.0,Щит,322.0,Погода,425.0,Объекты вод суши мира,523.0,Загрязнение вод Мирового океана,636.0,Агломерация. Мегалополис,723.0,,,,,Внутренние воды и водные ресурсы России,1022,"Черная металлургия:
факторы размещения предприятий, Металлургические базы и центры",1137.0,,,,,География овцеводства. Страны -экспортеры шерсти,1422.0,,,,
22,,,,,Полярная ночь,224.0,Кристаллический фундамент,323.0,Амплитуда температур,426.0,Ветровые волны,524.0,Влияние транспорта на окружающую среду,637.0,Средняя( ожидаемая) продолжительность жизни в странах разного типа,724.0,,,,,Распределение рек по бассейнам океанов,1023,"Цветная металлургия, металлургические базы и центры",1138.0,,,,,Мировая транспортная система.Основные преимуществаразличных видов транспорта,1423.0,,,,
23,,,,,Возникновение планеты,225.0,Краевой пргиб,324.0,Распределение влаги по поверхности Земли,427.0,Моря внутренние и окраинные,526.0,Классификация энергетических ресурсов ,638.0,ИЧР в странах разного типа,725.0,,,,,Главные речные системы России,1024,"Металлургические комбинаты полного цикла

",1139.0,,,,,География железнодорожного транспорта,1424.0,,,,
24,,,,,,,Внутренние процессы Земли,325.0,Климатические пояса: основные и переходные,428.0,,,Особо охраняемые природные территории,639.0,Структура занятости населения в странах разного типа,726.0,,,,,"Особенности питание рек, годового режима, характрера течения рек России",1025,"Машиностроение, факторы размещения предприятий и центры",1140.0,,,,,География автомобильного транспорта,1425.0,,,,
25,,,,,,,Тектонические движения,326.0,Определение типа климата по климатограмме,429.0,,,,,Уровень грамотности населения в странах разного типа,727.0,,,,,Озера России и их типы,1026,"Автомобилестроение, факторы размещения предприятий и центры",1141.0,,,,,География речного транспорта. Основные водные магистрали,1426.0,,,,
26,,,,,,,Землетрясения,327.0,Характеристика типов климата,430.0,,,,,Показатель ВВП на душу населения в странах разного типа,728.0,,,,,Распространение ледников на территоррии России,1027,"Тракторостроение, факторы размещения предприятий и центры",1142.0,,,,,География трубопроводного транспорта,1427.0,,,,
27,,,,,,,Вулканизм,328.0,Климатические области,431.0,,,,,Международное разделение труда. Международная специализация крупнейших стран и регионов мира,733.0,,,,,Распространение горных ледников на территоррии России,1028,"Сельскохозяйственное машиностроение, факторы размещения предприятий и центры",1143.0,,,,,"География морского транспорта. Основные международные магистрали, Крупнейшие порты мира",1428.0,,,,
28,,,,,,,Вулкан и его строение,329.0,Коэффициент увлажнения,432.0,,,,,,,,,,,Покровное оледенение на территории России,1029,"Судостроение, факторы размещения предприятий и центры",1144.0,,,,,"Международные организации ( региональные, политические и отраслевые союзы)",1429.0,,,,
29,,,,,,,Внешние силы Земли,330.0,Максимальные и минимальные климатические показатели на Земле,433.0,,,,,,,,,,,Многолетняя мерзлота на территории России,1030,"Тяжелое машиностроение, факторы размещения предприятий и центры",1145.0,,,,,Международные экономические отношения.Мировой рынок. Международные экономические связи,1430.0,,,,
30,,,,,,,Выветривание,331.0,Облака и их типы,434.0,,,,,,,,,,,Болота и подземные воды России,1031,"Точное машиностроение, факторы размещения предприятий и центры",1146.0,,,,,"Преимущества и недостатки отдельных видов
транспорта",1431.0,,,,
31,,,,,,,Ветровая эрозия,332.0,Взаимосвязь температуры и влажности воздуха,435.0,,,,,,,,,,,Почвы и земельные ресурсы России,1032,Пищевая промышленность,1148.0,,,,,Демографический переход,1432.0,,,,
32,,,,,,,Водная эрозия,333.0,"Испаряемость, испарение",436.0,,,,,,,,,,,"Факторы образования почв, их основные типы, свойства, различия в плодородии",1033,Легкая промышленность,1149.0,,,,,,,,,,
33,,,,,,,Работа ветра: дюны и барханы,334.0,"Средняя температура воздуха за сутки, месяц, год",437.0,,,,,,,,,,,Размещение основных типов почв на территории России,1034,Транспорт,1150.0,,,,,,,,,,
34,,,,,,,"Работа вод: овраги, балки",335.0,,,,,,,,,,,,,Распространение арктических почв на территории России,1035,"Преимущества и недостатки отдельных видов
транспорта",1151.0,,,,,,,,,,
35,,,,,,,Работа ледников: ледниковые формы рельефа,336.0,,,,,,,,,,,,,Распространение тундрово-глеевых почв на территории России,1036,"Сухопутный, водный и воздушный транспорт",1152.0,,,,,,,,,,
36,,,,,,,Карст и формы карстового рельефа,337.0,,,,,,,,,,,,,Распространение подзолистых почв на территории России,1037,Трубопроводный транспорт,1153.0,,,,,,,,,,
37,,,,,,,Суша Земли,338.0,,,,,,,,,,,,,Распространение дерново-подзолистых почв на территории России,1038,Морской транспорт. Морские порты,1154.0,,,,,,,,,,
38,,,,,,,Шкала Рихтера,339.0,,,,,,,,,,,,,Распространение бурых лесных почв на территории России,1039,"Железнодорожный транспорт. Железнодорожные магистрали, плотность Ж/Д сети",1155.0,,,,,,,,,,
39,,,,,,,Рельеф,340.0,,,,,,,,,,,,,Распространение черноземных почв на территории России,1041,Туризм. Развитие туризма в России,1156.0,,,,,,,,,,
40,,,,,,,Основные формы рельефа: горы и равнины,341.0,,,,,,,,,,,,,Распространение каштановых почв на территории России,1042,Растениеводство - технические культуры,1157.0,,,,,,,,,,
41,,,,,,,Различие равнин по высоте,342.0,,,,,,,,,,,,,Распространение полупустынных почв на территории России,1043,"Авиастроение, факторы размещения предприятий и центры",1158.0,,,,,,,,,,
42,,,,,,,Различие гор по высоте,343.0,,,,,,,,,,,,,Природные зоны России,1045,Нефтяная промышленность России,1159.0,,,,,,,,,,
43,,,,,,,Рельеф дна Мирового океана,344.0,,,,,,,,,,,,,Особенности увлажнения отдельных территорий страны (коэффициент увлажнения),1046,Газовая промышленность России,1160.0,,,,,,,,,,
44,,,,,,,Объекты рельефа мира,345.0,,,,,,,,,,,,,Арктические пустыни России,1047,Угольная промышленность России,1161.0,,,,,,,,,,
45,,,,,,,Геологическая хронология,346.0,,,,,,,,,,,,,Тундры и лесотундры России,1048,Тепловые электростанции России,1162.0,,,,,,,,,,
46,,,,,,,Геологические эры,347.0,,,,,,,,,,,,,Тайга России,1049,Гидроэлектростанции России,1163.0,,,,,,,,,,
47,,,,,,,Геологические периоды,348.0,,,,,,,,,,,,,Смешанные и широколиственные леса России,1050,Атомные электростанции России,1164.0,,,,,,,,,,
48,,,,,,,Эпохи горообразования,349.0,,,,,,,,,,,,,Степи и лесостепи России,1051,Альтернативная энергетика России,1165.0,,,,,,,,,,
49,,,,,,,Антропогенные формы рельефа,350.0,,,,,,,,,,,,,Полупустыни России,1052,,,,,,,,,,,,
50,,,,,,,Цунами,351.0,,,,,,,,,,,,,Природа Крыма,1053,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,Субтропический климатический пояс на территории России,1056,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,Растительный и животный мир,1059,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,Заповедники и другие охраняемые территории,1060,,,,,,,,,,,,
